candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,0.5,0.37,-0.37,0.0,True
Philippe Poutou,2.0,0.73,-0.73,0.0,True
Fabien Roussel,5.0,1.14,-1.14,0.0,True
Jean-Luc Mélenchon,9.5,1.53,-1.53,0.0,True
Marine Tondelier,4.0,1.02,-1.02,0.0,True
Raphaël Glucksmann,10.5,1.6,-1.6,0.0,True
Édouard Philippe,24.0,2.23,-2.23,0.0,True
Laurent Wauquiez,4.5,1.08,-1.08,0.0,True
Nicolas Dupont-Aignan,3.0,0.89,-0.89,0.0,True
Marine Le Pen,33.5,2.46,-2.46,0.0,True
Éric Zemmour,3.5,0.96,-0.96,0.0,True
