candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.5,0.63,-0.63,0.0,True
Philippe Poutou,2.0,0.73,-0.73,0.0,True
Fabien Roussel,5.5,1.19,-1.19,0.0,True
Jean-Luc Mélenchon,10.5,1.6,-1.6,0.0,True
Marine Tondelier,4.5,1.08,-1.08,0.0,True
Olivier Faure,4.0,1.02,-1.02,0.0,True
Gabriel Attal,18.0,2.0,-2.0,0.0,True
Dominique de Villepin,5.0,1.14,-1.14,0.0,True
Laurent Wauquiez,4.5,1.08,-1.08,0.0,True
Nicolas Dupont-Aignan,4.0,1.02,-1.02,0.0,True
Jordan Bardella,35.5,2.5,-2.5,0.0,True
Éric Zemmour,5.0,1.14,-1.14,0.0,True
