candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.2,-0.2,0.0,True
Jean-Luc Mélenchon,10.0,0.62,-0.62,0.0,True
Fabien Roussel,2.5,0.32,-0.32,0.0,True
François Ruffin,5.0,0.45,-0.45,0.0,True
Raphaël Glucksmann,10.0,0.62,-0.62,0.0,True
Marine Tondelier,2.5,0.32,-0.32,0.0,True
Édouard Philippe,22.0,0.85,-0.85,0.0,True
Bruno Retailleau,8.0,0.56,-0.56,0.0,True
Nicolas Dupont-Aignan,2.0,0.29,-0.29,0.0,True
Jordan Bardella,33.0,0.96,-0.96,0.0,True
Éric Zemmour,4.0,0.4,-0.4,0.0,True
