candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.75,-0.75,0.0,True
Philippe Poutou,2.0,1.06,-1.06,0.0,True
Fabien Roussel,3.0,1.29,-1.29,0.0,True
Jean-Luc Mélenchon,12.0,2.45,-2.45,0.0,True
Marine Tondelier,3.0,1.29,-1.29,0.0,True
Raphaël Glucksmann,11.5,2.4,-2.4,0.0,True
Édouard Philippe,20.5,3.04,-3.04,0.0,True
Bruno Retailleau,10.0,2.26,-2.26,0.0,True
Nicolas Dupont-Aignan,2.0,1.06,-1.06,0.0,True
Marine Le Pen,32.0,3.52,-3.52,0.0,True
Éric Zemmour,3.0,1.29,-1.29,0.0,True
