candidat,intentions,erreur_sup,erreur_inf,p_value,significant
Nathalie Arthaud,1.0,0.76,-0.76,0.0,True
Philippe Poutou,2.0,1.06,-1.06,0.0,True
Fabien Roussel,3.0,1.29,-1.29,0.0,True
Jean-Luc Mélenchon,12.0,2.47,-2.47,0.0,True
Marine Tondelier,4.0,1.49,-1.49,0.0,True
Raphaël Glucksmann,12.0,2.47,-2.47,0.0,True
Édouard Philippe,20.0,3.04,-3.04,0.0,True
Bruno Retailleau,9.5,2.23,-2.23,0.0,True
Nicolas Dupont-Aignan,2.0,1.06,-1.06,0.0,True
Jordan Bardella,31.5,3.53,-3.53,0.0,True
Éric Zemmour,3.0,1.29,-1.29,0.0,True
